Spanish,English
el,he
la,the
de,of
que,that
y,and
a,to
en,in
un,a
ser,be
no,No
haber,to have
por,by
con,with
para,for
como,as
estar,be
tener,have
todo,all
pero,but
más,further
hacer,do
o,either
poder,can
decir,say
este,this
ir,go
otro,other
ese,that
si,Yeah
ya,already
ver,see
porque,because
dar,give
cuando,when
muy,very
vez,time
mucho,a lot
saber,know
qué,that
sobre,about
alguno,some
mismo,same
también,also
hasta,until
año,year
dos,two
querer,want
entre,between
así,So
primero,first
desde,from
grande,big
eso,that
ni,neither
llegar,arrive
pasar,pass
tiempo,time
sí,Yeah
día,day
uno,one
bien,good
poco,bit
deber,duty
entoonces,Then
poner,put
cosa,stuff
tanto,so much
hombre,man
parecer,seem
nuestro,our
tanto,so much
donde,where
parte,part
después,after
vida,life
quedar,meet
siempre,always
creer,believe
hablar,talk
llevar,carry
dejar,leave
nada,nothing
cada,each
seguir,continue
menos,less
nuevo,new
encontrar,find
algo,something
sólo,only
pues,well
llamar,call
venir,come
pensar,think
aquel,that
momento,moment
sino,but
esto,this
salir,go out
volver,return
forma,shape
antes,before
bueno,Well
casa,home
aunque,although
mundo,world
tres,three
tal,such
mejor,better
tomar,take
cierto,TRUE
conocer,know
hacia,toward
cómo,as
mujer,women
vivir,live
aqui,here
caso,case
sentir,feel
país,country
luego,then
tratar,treat
lugar,place
persona,person
mayor,elderly
último,last
propio,own